04D1qd      0.76558800.7670000024.24420800.0963300 0.18092800.2732440 0.01206000.053803010.4960000 0.064500053329.53594400.3675400 0.0037630 0.0001910 0.00227901 36.6378130 -4.1071770-0.0087970
04D1rh      0.43486100.4360000022.55649300.0871880 0.82836900.2101730-0.05703900.0258460 9.8880000 0.132000053350.85446200.2596930 0.0007380 0.0004900 0.00014401 36.9464480 -4.2537650 0.0012240
04D1rx      0.98340700.9850000024.76047300.1141310 0.59486900.4487020-0.09933400.0593780 9.7690000 0.125000053352.51494300.8427830 0.0060630-0.0017970 0.00662101 36.2959580 -4.6183490-0.0297590
04D1sa      0.58374300.5850000023.56427600.0915950-0.44287100.2888390-0.06641300.033662010.6230000 0.064000053360.23126200.3221160 0.0040250 0.0002910 0.00041801 36.9839950 -4.1760710 0.0007740
04D1si      0.70063100.7020000023.85784200.0943620 0.13655600.2967610-0.01156600.054476010.6380000 0.127000053359.93010000.3671870 0.0041670 0.0003480 0.00147201 36.2033160 -4.5689500-0.0041810
04D1sk      0.66205800.6634000024.07265200.0931860 0.44517000.3767680 0.08411200.055869010.4160000 0.150000053355.27200500.5235800 0.0042630 0.0005840 0.00254601 36.0949080 -4.3536210-0.0020520
04D2al      0.83812600.8360000024.33790400.1136320-1.31378801.1416140-0.09040500.0829930 9.6420000 0.219000053034.72170001.1637010-0.0184190-0.0029600 0.05357801150.4686460  2.1641060-0.0152230
04D2an      0.62187400.6200000023.58130300.0923660-0.29730900.5703390-0.04358500.0483320 7.5420000 0.574000053031.16282700.6897370 0.0057650 0.0002780 0.00751201150.2179560  2.0412300-0.0003520
04D2cf      0.37058600.3690000022.46292400.0957470-0.86156900.2180550-0.01402200.034607010.8090000 0.157500053075.84019400.9236420-0.0051520 0.0013640-0.00258501150.4837070  1.8794780 0.0001740
04D2fp      0.41663200.4150000022.54657200.0871940 0.38515200.1281110-0.04975300.027585010.2350000 0.217500053107.43939400.1612200 0.0006460 0.0005090-0.00026901149.8671660  2.3210140 0.0009630
04D2fs      0.35857000.3570000022.42501700.0864850 0.09389500.1019400 0.06051400.0257770 8.3860000 0.294000053107.69810800.1277740 0.0003310 0.0005220-0.00033201150.0920260  1.7653980-0.0000440
04D2gb      0.45168100.4500000022.90325700.0882330-1.58769900.1731300 0.02812500.034468010.2460000 0.090000053108.40136400.2072160 0.0010460 0.0005770-0.00030301150.5944490  1.8941610 0.0014220
04D2gc      0.52276200.5210000023.32908700.0891150 1.14020600.2016060 0.01844100.0356780 9.3260000 0.202500053118.11742700.2541570 0.0017610 0.0004080-0.00030101150.4136040  1.8830520 0.0016400
04D2gp      0.73399600.7320000024.21182100.1029000-1.35203100.4125990-0.14094000.0857900 8.8340000 0.230000053110.44980000.5850380 0.0077950-0.0012960 0.00443501149.8348880  2.5088790-0.0063980
04D2iu      0.70196500.7000000024.22677700.1000280-1.90827800.4191190 0.04058000.0851720 6.0000000 5.000000053120.73598100.5168100 0.0083070-0.0007280 0.00217701150.3049140  2.4150500-0.0042630
04D2ja      0.74200800.7400000024.09421200.1034830 0.35763100.4004990-0.20182800.071427010.9910000 0.094500053123.20024900.4791190 0.0116590-0.0013710-0.00228901149.7020910  1.7717370-0.0069800
04D2kr      0.74611800.7441000023.85591100.0956410 0.78909100.3142590-0.02448200.0528630 6.0000000 5.000000053359.38524700.4213190 0.0049240 0.0000650-0.00068701150.1555920  1.7119270-0.0072860
04D2mc      0.34956000.3480000022.51016700.0897920-1.79693900.1260860 0.08464700.030212010.9600000 0.118000053367.17179000.1315330 0.0020330 0.0008890 0.00079201150.1481250  1.7841810-0.0002060
04D2mh      0.59183500.5900000023.38618300.0904440 1.58101600.1742000 0.02252500.0338030 9.0970000 0.418000053376.33226000.2463050 0.0014470 0.0005140 0.00011001149.9412010  2.1410250 0.0005740
04D2mj      0.51474600.5130000023.77672100.0903060 1.54143300.2253880 0.15578800.0354600 9.5480000 0.123000053374.43992700.2685340 0.0027840 0.0006990 0.00028501150.1522150  2.5770670 0.0016750
04D3co      0.62063200.6200000023.78430600.0930910-0.67702500.1953350-0.02793700.0463200 9.5170000 0.243000053101.47166500.2606520 0.0031590 0.0004650 0.00103101214.4582450 52.9636110-0.0003080
04D3cy      0.64364600.6430000023.78647800.0941480-0.20465800.2054030-0.02751400.0652500 9.9800000 0.212000053101.09541000.2638670 0.0035570 0.0008090 0.00133901214.5518100 52.6583320-0.0012070
04D3dd      1.00279501.0020000025.03936900.1373100 0.67165300.6837900-0.01645800.0752900 9.4800000 0.133500053113.47652701.1471820 0.0288000-0.0035740 0.01190501214.4516860 52.4706780-0.0315820
04D3df      0.47058600.4700000023.53238300.0879880-2.06925000.1498040 0.10583200.0302400 6.0000000 5.000000053119.61028500.1897080 0.0005500 0.0004920-0.00010401214.5416710 52.2776860 0.0015870
04D3do      0.61064300.6100000023.55995800.0905880-0.83068200.1488870-0.11874200.032813010.4850000 0.071000053112.98969600.2634100 0.0007120 0.0002210-0.00072801214.4420080 52.2675530 0.0000290
04D3ez      0.26348700.2630000021.66648000.0855500-1.08288400.0840200 0.02712400.023334010.2900000 0.012000053115.46558600.1302800 0.0001420 0.0005110 0.00003001214.7826440 53.0719480-0.0012810
